id,name,brief,desc
106,Colorant bleu,Matériel d'Événement,Matériel d'Événement. Disponible pendant la période de l'Événement. Peignez l'Œuf de Pâques avec du bleu.
107,Colorant pourpre,Matériel d'Événement,Matériel d'Événement. Disponible pendant la période de l'Événement. Peignez l'Œuf de Pâques avec du pourpre.
108,Médaille,Événement,Obtenable lors du Festival Sportif de Yume
109,Billet de Match d'Exhibition,Matériel d'Événement,"Matériel d'Événement, utilisable pour miser sur les matchs d'exhibition du Festival Sportif de Yume. À la fin de l'événement, sera échangé contre des Pièces d'Or"
110,Monnaie d'Arbitre,Matériel d'Événement,Matériel d'Événement. À utiliser pour acheter divers accessoires d'arbitre dans le magasin d'accessoire d'arbitre. Peut-être vendu après l'événément
7088,Sacrement,Skin,Skin d'Ésaü & Jacob - Sacrement
27088,Sacrement,Skin,Skin d'Ésaü & Jacob - Sacrement
7089,Arbitre,Skin,Skin de Valeera - Arbitre
27089,Arbitre,Skin,Skin de Valeera - Arbitre
7090,Star de Baseball,Skin,Skin de Guan Yin - Star de Baseball
27090,Star de Baseball,Skin,Skin de Guan Yin - Star de Baseball
7091,Sprinteuse,Skin,Skin de Sapphire - Sprinteuse
27091,Sprinteuse,Skin,Skin de Sapphire - Sprinteuse
111,Particule fantôme purifiée,Matériel d'Événement,"Matériel Spécial, à utiliser pour recruter les Filles dans l'événement Priez aux étoiles"
112,Revenu de Pièces d'or (24h),Coffre de Monnaie,Obtenez un revenu de Pièces d'or pendant 24h.(Selon l'étape actuelle de la Campagne où vous êtes et non affecté par les bonus de VIP)\nVous obtiendrez：Pièces d'or *
113,Revenu de Jus d'Exp (24h),Coffre de Jus d'Exp,Obtenez un revenu de Jus d'EXP pendant 24h.(Selon l'étape actuelle de la Campagne où vous êtes et non affecté par les bonus de VIP)\nVous obtiendrez：Jus d'EXP *
114,Orbe Élémentaire,Matériel d'Événement,À utiliser pour obtenir des récompenses dans Labo Alchimique de Valeera. Inéchangeable après l'événement. Utilisez-le dans le temps imparti
115,Revenu de Pièces d'or (8h),Coffre de Monnaie,Obtenez un revenu de Pièce d'or pendant 8h.(Selon l'étape actuelle de la Campagne où vous êtes et non affecté par les bonus de VIP)\nVous obtiendrez：Pièce d'or *
116,Revenu de Jus d'Exp (8h),Coffre de Jus d'Exp,Obtenez un revenu de Jus d'EXP pendant 8h.(Selon l'étape actuelle de la Campagne où vous êtes et non affecté par les bonus de VIP)\nVous obtiendrez：Jus d'EXP *
930185,Fragments 5 étoiles de Fenrir,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
51012,Fenrir,,
651019,Fenrir,,
751012,Fenrir,,
8023,Médaille d'Or d'Athlète,Cadre d'Avatar,Cadre d'Avatar Exclusif au Festival Sportif de Yume. Obtenable en ayant terminé dans le top 10 de la Guerre de Maison.
8024,Médaille d'Argent d'Athlète,Cadre d'Avatar,Cadre d'Avatar Exclusif au Festival Sportif de Yume. Obtenable en ayant terminé entre le 11e et 50e rang au classement de la Guerre de Maison.
8025,Médaille de Bronze d'Athlète,Cadre d'Avatar,Cadre d'Avatar Exclusif au Festival Sportif de Yume. Obtenable en ayant terminé entre le 51e et 100e rang au classement de la Guerre de Maison.
7092,Smasheuse,Skin,Skin d'Ithil - Smasheuse
27092,Smasheuse,Skin,Skin d'Ithil - Smasheuse
6479,Masse Dentelée,,
6480,Masse Dentelée,,
6481,Masse Dentelée,,
6482,Masse Dentelée,,
6483,Masse Dentelée,,
6484,Masse Dentelée,,
6485,Hache Crénelée,,
6486,Hache Crénelée,,
6487,Hache Crénelée,,
6488,Hache Crénelée,,
6489,Hache Crénelée,,
6490,Hache Crénelée,,
117,Engrenage,EXP de Billet de Festival à Vapeur,À utiliser pour améliorer le Niveau dans Festival à Vapeur
8026,Inspection des engrenages,Cadre d'Avatar,Obtenable en achetant le Billet de 1ère Classe dans la 1er Période du Festival à Vapeur
7093,Pistolero,Skin,Skin de Kira - Pistolero\nObtenable lors du Festival à Vapeur
27093,Pistolero,Skin,Skin de Kira - Pistolero\nObtenable lors du Festival à Vapeur
118,Coupon de Baseball,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets dans l'événement Ligue des Champions."
940031,Fragments de Poupée Fantôme 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Fantôme\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940032,Fragments de Poupée Humain 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Humain\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940033,Fragments de Poupée Monstre 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Monstre\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940034,Fragments de Poupée Fée 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Fée\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940035,Fragments de Poupée Démon 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Démon\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940036,Fragments de Poupée Ange 6 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 6 étoiles de la Maison Ange\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
119,Vis,Pièce Normale du Festival à Vapeur,Obtenable en améliorant le Niveau de Billet. À utiliser pour échanger des objets dans Le Bureau d'Échange de Vis. Les Vis obtenus dans la période actuelle seront décomptés à la fin de cette période
120,Noyau mécanique,Pièce Avancée du Festival à Vapeur,Obtenable en améliorant le Niveau de Billet. À utiliser pour échanger des objets dans Le Bureau d'Échange Premium. Les Noyaux mécaniques obtenus seront conservés après la fin de cette période pour les échanger contre des objets de la période suivante
7094,Bénédiction,Skin,Skin d'Hottie - Bénédiction
27094,Bénédiction,Skin,Skin d'Hottie - Bénédiction
7095,Violoniste,Skin,Skin d'Iron Fist Papillon - Violoniste
27095,Violoniste,Skin,Skin d'Iron Fist Papillon - Violoniste
7096,Union Rosée,Skin,Skin de Sakura - Union Rosée
27096,Union Rosée,Skin,Skin de Sakura - Union Rosée
1070001,Mur de la salle de collection,Meuble,"Le mur gris est séparé par une charpente métallique, cette salle de collection peut conserver tous les trésors rares."
1070002,Plancher de\nCollectionneur,Meuble,"La salle de collection cachée est enfin ouverte, marchez prudemment, ne touchez pas les objets collectionnés !"
1070003,Lit à Vapeur,Meuble,"Allongez-vous sur le lit, fermez les yeux, écoutez le bruit des mille et une collisions mécaniques."
1070004,Table d'Engrenage,Meuble,"Un engrenage énorme sur la surface de la table, peut-être c'est une pièce de rechange d'une grande machine."
1070005,Table de Travail,Meuble,"Personne ne sait qui développe des objets mécaniques inconnus, mais d'après les dessins laissés sur la scène, il semble que ces objets ne soient pas terminés."
1070006,Chaise de Travail,Meuble,La chaise normale et pratique.
1070007,Lampe à Vapeur,Meuble,"Seule une très faible lumière pouvait être émise, mais c'était suffisant dans cette petite pièce."
1070008,Machine à\nÉcrire,Meuble,"Pour la plupart des étudiantes de Yume, elles ne savent qu'est-ce que c'est."
1070009,Différentiateur,Meuble,"La machine légendaire, malheureusement, cette collection semble inutile."
1070010,Horloge au Sol,Meuble,L'horloge est nécessaire dans un environement fermé pour savoir le temps.
1070011,Rack Prop,Meuble,Certaines objets sont placées sur l'étagère dans un désordre.
1070012,Machine\nTemporelle,Meuble,"Cette collection n'est pas seulement utilisée pour voyager dans le temps, mais aussi pour arrêter le temps. Cependant, personne ne peut la déclencher ..."
1070013,Bras \nMécanique,Meuble,"Un bras mécanique d'origine, la technologie est complètement inférieure à celui d'Iron Fist."
1070014,Poêle à Vapeur,Meuble,"Faites attention à ouvrir ce poêle, vous risquez de vous ébouillanter."
1070015,Instrument\nSphérique,Meuble,"Un instrument de signification inconnue, et il semble être un jouet pour les serviteurs."
1070016,Outils,Meuble,Différents types d'outils placés sur le mur.
1070017,Porte\nd'Engrenage,Meuble,Il faut prendre beaucoup d'efforts pour ouvirir la lourde porte mécanique.
1070018,Dessins\nMécaniques,Meuble,Ces dessins sert à me faire penser que la personne qui dessine est très puissante.
1070019,Tuyaux de Vapeur,Meuble,"Le tuyau peut connecter des machines et une source d'alimentation, mais il ne peut pas connecter le cœur des Filles."
1070020,Contrôleur,Meuble,Il y a plusieurs boutons numériques sur ce contrôleur. Voulez-vous appuyer sur 4 et 2?
52013,Saint Majesté,,
652020,Saint Majesté,,
752013,Saint Majesté,,
930186,Saint Majesté 5 étoiles,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
7097,Promesse Violette,Skin,Skin de Capsula - Promesse Violette
27097,Promesse Violette,Skin,Skin de Capsula - Promesse Violette
121,Énergie Vitale,Monnaie,Utilisée pour renforcer les Âmes
122,Ticket de Tâches d'Âme,Ticket de Tâches d'Âme,À utiliser pour compléter les Tâches d'Âme
25010001,Essence d'Âme de bas niveau,Matériau d'Âme,Décomposer pour obtenir un peu d'Énergie Vitale
25010002,Essence d'Âme de niveau moyen,Matériau d'Âme,Décomposer pour obtenir une quantité moyenne d'Énergie Vitale
25010003,Essence d'Âme de haut niveau,Matériau d'Âme,Décomposer pour obtenir beaucoup d'Énergie Vitale
25050500,[Rubis Ultime Ⅰ] Pierre de Synthèse,Matériau de synthèse d'Âme,Matériau de synthèse d'Âme de l'ensemble [Rubis Ultime Ⅰ]
25060600,[Invocateur] Pierre de Synthèse,Matériau de synthèse d'Âme,Matériau de synthèse d'Âme de l'ensemble [Invocateur]
25060700,[Juge] Pierre de Synthèse,Matériau de synthèse d'Âme,Matériau de synthèse d'Âme de l'ensemble [Juge]
25060800,[Destructeur] Pierre de Synthèse,Matériau de synthèse d'Âme,Matériau de synthèse d'Âme de l'ensemble [Destructeur]
25060900,[Dominateur] Pierre de Synthèse,Matériau de synthèse d'Âme,Matériau de synthèse d'Âme de l'ensemble [Dominateur]
25010101,Écaille,Âme,
25010102,Griffe,Âme,
25010103,Plume,Âme,
25010104,Coquille,Âme,
25020101,[Topaze ordinaire Ⅰ] Écaille,Âme,
25020102,[Topaze ordinaireⅠ] Griffe,Âme,
25020103,[Topaze ordinaire Ⅱ] Plume,Âme,
25020104,[Topaze ordinaire Ⅱ ] Coquille,Âme,
25030101,[Améthyste ordinaireⅠ] Écaille,Âme,
25030102,[Améthyste ordinaireⅠ] Griffe,Âme,
25030103,[Améthyste ordinaire Ⅱ] Plume,Âme,
25030104,[Améthyste ordinaireⅡ] Coquille,Âme,
25030201,[Améthyste primaireⅠ] Écaille,Âme,
25030202,[Améthyste primaireⅠ] Griffe,Âme,
25030203,[Améthyste primaireⅠ] Plume,Âme,
25030204,[Améthyste primaireⅠ] Coquille,Âme,
25030205,[Améthyste primaire Ⅱ] Étoile,Âme,
25030206,[Améthyste primaire Ⅱ] Lune,Âme,
25030301,[Améthyste intermédiaireⅠ] Écaille,Âme,
25030302,[Améthyste intermédiaireⅠ] Griffe,Âme,
25030303,[Améthyste intermédiaireⅠ] Plume,Âme,
25030304,[Améthyste intermédiaireⅠ] Coquille,Âme,
25030305,[Améthyste intermédiaire Ⅱ] Étoile,Âme,
25030306,[Améthyste intermédiaire Ⅱ] Lune,Âme,
25030401,[Améthyste avancéeⅠ] Écaille,Âme,
25030402,[Améthyste avancéeⅠ] Griffe,Âme,
25030403,[Améthyste avancéeⅠ] Plume,Âme,
25030404,[Améthyste avancéeⅠ] Coquille,Âme,
25030405,[Améthyste avancée Ⅱ] Étoile,Âme,
25030406,[Améthyste avancée Ⅱ] Lune,Âme,
25040101,[Jade ordinaireⅠ] Écaille,Âme,
25040102,[Jade ordinaireⅠ] Griffe,Âme,
25040103,[Jade ordinaire Ⅱ] Plume,Âme,
25040104,[Jade ordinaire Ⅱ] Coquille,Âme,
25040105,[Jade ordinaire Ⅲ] Étoile,Âme,
25040106,[Jade ordinaire Ⅲ] Lune,Âme,
25040201,[Jade primaire Ⅰ] Écaille,Âme,
25040202,[Jade primaire Ⅰ] Griffe,Âme,
25040203,[Jade primaire Ⅰ] Plume,Âme,
25040204,[Jade primaire Ⅰ] Coquille,Âme,
25040205,[Jade primaire Ⅱ] Étoile,Âme,
25040206,[Jade primaire Ⅱ] Lune,Âme,
25040207,[Jade primaire Ⅱ] Soleil,Âme,
25040301,[Jade intermédiaireⅠ] Écaille,Âme,
25040302,[Jade intermédiaire Ⅰ] Griffe,Âme,
25040303,[Jade intermédiaire Ⅰ] Plume,Âme,
25040304,[Jade intermédiaireⅠ] Coquille,Âme,
25040305,[Jade intermédiaire Ⅱ] Étoile,Âme,
25040306,[Jade intermédiaire Ⅱ] Lune,Âme,
25040307,[Jade intermédiaire Ⅱ] Soleil,Âme,
25040401,[Jade avancée Ⅰ] Écaille,Âme,
25040402,[Jade avancée Ⅰ] Griffe,Âme,
25040403,[Jade avancéeⅠ] Plume,Âme,
25040404,[Jade avancée Ⅰ] Coquille,Âme,
25040405,[Jade avancée Ⅱ] Étoile,Âme,
25040406,[Jade avancée Ⅱ] Lune,Âme,
25040407,[Jade avancée Ⅱ] Soleil,Âme,
25050101,[Rubis ordinaire Ⅰ] Écaille,Âme,
25050102,[Rubis ordinaire Ⅰ] Griffe,Âme,
25050103,[Rubis ordinaire Ⅱ] Plume,Âme,
25050104,[Rubis ordinaire Ⅱ] Coquille,Âme,
25050105,[Rubis ordinaire Ⅲ] Étoile,Âme,
25050106,[Rubis ordinaire Ⅲ] Lune,Âme,
25050107,[Rubis ordinaire Ⅲ] Soleil,Âme,
25050201,[Rubis primaireⅠ] Écaille,Âme,
25050202,[Rubis primaireⅠ] Griffe,Âme,
25050203,[Rubis primaire Ⅰ] Plume,Âme,
25050204,[Rubis primaireⅠ] Coquille,Âme,
25050205,[Rubis primaire Ⅱ] Étoile,Âme,
25050206,[Rubis primaire Ⅱ] Lune,Âme,
25050207,[Rubis primaire Ⅱ] Soleil,Âme,
25050301,[Rubis intermédiaireⅠ] Écaille,Âme,
25050302,[Rubis intermédiaireⅠ] Griffe,Âme,
25050303,[Rubis intermédiaireⅠ] Plume,Âme,
25050304,[Rubis intermédiaireⅠ] Coquille,Âme,
25050305,[Rubis intermédiaire Ⅱ] Étoile,Âme,
25050306,[Rubis intermédiaire Ⅱ] Lune,Âme,
25050307,[Rubis intermédiaire Ⅱ] Soleil,Âme,
25050401,[Rubis avancé Ⅰ] Écaille,Âme,
25050402,[Rubis avancé Ⅰ] Griffe,Âme,
25050403,[Rubis avancé Ⅰ] Plume,Âme,
25050404,[Rubis avancé Ⅰ] Coquille,Âme,
25050405,[Rubis avancé Ⅰ] Étoile,Âme,
25050406,[Rubis avancé Ⅰ] Lune,Âme,
25050407,[Rubis avancé Ⅰ] Soleil,Âme,
25050501,[Rubis ultime Ⅰ] Écaille,Âme,
25050502,[Rubis ultime Ⅰ] Griffe,Âme,
25050503,[Rubis ultime Ⅰ] Plume,Âme,
25050504,[Rubis ultime Ⅰ] Coquille,Âme,
25050505,[Rubis ultime Ⅰ] Étoile,Âme,
25050506,[Rubis ultime Ⅰ] Lune,Âme,
25050507,[Rubis ultimeⅠ] Soleil,Âme,
25060601,[Invocateur] Écaille,Âme,
25060602,[Invocateur] Griffe,Âme,
25060603,[Invocateur] Plume,Âme,
25060604,[Invocateur] Coquille,Âme,
25060605,[Invocateur] Étoile,Âme,
25060606,[Invocateur] Lune,Âme,
25060607,[Invocateur] Soleil,Âme,
25060701,[Juge] Écaille,Âme,
25060702,[Juge] Griffe,Âme,
25060703,[Juge] Plume,Âme,
25060704,[Juge] Coquille,Âme,
25060705,[Juge] Étoile,Âme,
25060706,[Juge] Lune,Âme,
25060707,[Juge] Soleil,Âme,
25060801,[Destructeur] Écaille,Âme,
25060802,[Destructeur] Griffe,Âme,
25060803,[Destructeur] Plume,Âme,
25060804,[Destructeur] Coquille,Âme,
25060805,[Destructeur] Étoile,Âme,
25060806,[Destructeur] Lune,Âme,
25060807,[Destructeur] Soleil,Âme,
25060901,[Dominateur] Écaille,Âme,
25060902,[Dominateur] Griffe,Âme,
25060903,[Dominateur] Plume,Âme,
25060904,[Dominateur] Coquille,Âme,
25060905,[Dominateur] Étoile,Âme,
25060906,[Dominateur] Lune,Âme,
25060907,[Dominateur] Soleil,Âme,
9201,Par défaut 1,Émoji de Tchat,
9202,Par défaut 2,Émoji de Tchat,
9203,Par défaut 3,Émoji de Tchat,
9204,Par défaut 4,Émoji de Tchat,
9205,Par défaut 5,Émoji de Tchat,
9206,Par défaut 6,Émoji de Tchat,
9207,Par défaut 7,Émoji,
9208,Par défaut 8,Émoji,
9209,Par défaut 9,Émoji,
9210,Par défaut 10,Émoji,
9211,Par défaut 11,Émoji,
9212,Par défaut 12,Émoji,
9213,Par défaut 13,Émoji,
9214,Par défaut 14,Émoji,
9215,Par défaut 15,Émoji,
9216,Par défaut 16,Émoji,
9217,Par défaut 17,Émoji,
9218,Par défaut 18,Émoji,
9219,Par défaut 19,Émoji,
9220,Par défaut 20,Émoji,
9221,Par défaut 21,Émoji,
9222,Par défaut 22,Émoji,
9223,Par défaut 23,Émoji,
9224,Par défaut 24,Émoji,
9301,Émoji Halloween 1,Émoji,
9302,Émoji Halloween 2,Émoji,
9303,Émoji Halloween 3,Émoji,
9304,Émoji Halloween 4,Émoji,
9305,Émoji Cartoon 1,Émoji,
9306,Émoji Cartoon 2,Émoji,
9307,Émoji Cartoon 3,Émoji,
9308,Émoji Cartoon 4,Émoji,
9309,Émoji Cartoon 5,Émoji,
9310,Émoji Cartoon 6,Émoji,
9311,Émoji Cartoon 7,Émoji,
9312,Émoji Cartoon 8,Émoji,
124,Timbre,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
6491,Tingyue,,
6492,Tingyue,,
6493,Tingyue,,
6494,Tingyue,,
6495,Tingyue,,
6496,Tingyue,,
940041,Fragments de Poupée Fantôme 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Fantôme\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940042,Fragments de Poupée Humain 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Humain\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940043,Fragments de Poupée Monstre 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Monstre\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940044,Fragments de Poupée Fée 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Fée\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940045,Fragments de Poupée Démon 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Démon\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
940046,Fragments de Poupée Ange 9 étoiles,Invoquer,Collectez 50 Fragments pour invoquer une Poupée 9 étoiles de la Maison Ange\nLes Poupées peuvent être utilisées comme Fille Matérielle afin d'éveiller et libérer d'autres Filles
125,Boîte de Fille,Boîte de Fille,Vous pouvez choisir l'une des récompenses après avoir ouvert cette Boîte
123,Point de Collection,Point de Collection,À utiliser pour débloquer le Magasin de Collection lorsque vous aurez collecté un certain nombre de points de collection
7098,Mousquetaire,Skin,Skin de Saint Majesté - Mousquetaire
27098,Mousquetaire,Skin,Skin de Saint Majesté - Mousquetaire
126,Brochette,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
127,Glace,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
128,Cocktail,Matériel d'Événement,"Matériel Spécial, à utiliser pour obtenir des objets"
8027,Champion de l'Arène Ultime,Cadre d'Avatar,Défi-Devenir le Champion de l'Arène Ultime 6 fois
8028,Champion de l'Arène Ultime,Cadre d'Avatar,Défi-Devenir le Champion de l'Arène Ultime 7 fois
8029,Champion de l'Arène Ultime,Cadre d'Avatar,Défi-Devenir le Champion de l'Arène Ultime 8 fois
8030,Champion de l'Arène Ultime,Cadre d'Avatar,Défi-Devenir le Champion de l'Arène Ultime 9 fois
8031,Champion de l'Arène Ultime,Cadre d'Avatar,Défi-Devenir le Champion de l'Arène Ultime 10 fois
8032,Collectionneur Débutant,Cadre d'Avatar,Obtenable dans le Magasin de Collection
8033,Collectionneur Confirmé,Cadre d'Avatar,Obtenable dans le Magasin de Collection
8034,Collectionneur Légendaire,Cadre d'Avatar,Obtenable dans le Magasin de Collection
20001035,Avatar de Collectionneur Débutant,Avatar Spécial,Avatar exclusif du Magasin de Collection
20001036,Avatar de Collectionneur Confirmé,Avatar Spécial,Avatar exclusif du Magasin de Collection
20001037,Avatar de Collectionneur Légendaire,Avatar Spécial,Avatar exclusif du Magasin de Collection
930187,Fragments de Kratos 5 étoiles,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
55007,Kratos,,
655016,Kratos,,
755006,Kratos,,
930188,Fragments de Lucifael 5 étoiles,Recruter une Fille,Collectez 50 Fragments pour recruter cette Fille
56006,Lucifael,,
656016,Lucifael,,
756006,Lucifael,,
129,Pièce d'Amour,Matériel d'Événement,"Matériel d'Événement, utilisable pendant l'événement Coup de Cœur"
130,Rose d'Amour,Matériel Spécial,"Monnaie spéciale d'événement, utilisable pendant l'événement Coup de Cœur pour obtenir des objets"
131,Cœur en cristal,Matériel d'Événement,"Matériel d'Événement, utilisable pour progresser sur la carte de l'événement Coup de Cœur. Chaque utilisation vous permet d'avancer aléatoirement de 1 à 3 étapes"
132,Diamant d'Amour,Matériel d'Événement,"Matériel d'Événement, utilisable pour progresser sur la carte de l'événement Coup de Cœur. Chaque utilisation vous permet de décider précisément de combien d'étapes, entre 1 et 3, vous souhaitez avancer"
133,Boîte de Filles,Boîte de Filles,Un coffre mystérieux qui peut vous fournir 50 fragments de Kratos 5 étoiles ou 50 fragments de Lucifael 5 étoiles lorsque vous l'ouvrez. Les fragments de Lucifael 5 étoiles ne seront disponibles qu'une fois disponible dans le jeu
134,Certificat de Test d'Admission,Matériel d'Événement,"Matériel d'Événement, utilisable pour partirciper à l'événement Test d'Admission"
1080001,Mur Bourbon,Meuble,Un papier peint avec des motifs étranges qui cache l'entrée de la salle Bourbon.
1080002,Carreau Bourbon,Meuble,Des carreaux étrangement propres alors que normalement personne n'est supposé être entré dans cette salle…
1080003,Tapis Bourbon,Meuble,Un tapis épais qui donne vraiment envie de s'allonger dessus pour dormir confortablement et faire de beaux rêves.
1080004,Canapé Bourbon,Meuble,Un canapé qui semble être un canapé de haute qualité à haute élasticité et qui ne sera pas abîmé lorsqu'une personne se tiendra dessus.
1080005,Paravent Bourbon,Meuble,Un paravent ordinaire permettant de séparer votre vie personnelle et professionnelle dans une même salle.
1080006,Commode,Meuble,Un petit meuble décoré de motifs magnifiques.
1080007,Tabouret de Coiffeuse,Meuble,Un petit tabouret carré qui vous permet de vous calmer et de vous concentrer sur les choses devant vous.
1080008,Coiffeuse,Meuble,"Un meuble qui n'a normalement rien à faire dans une telle pièce, il doit sûrement cacher quelque chose !"
1080009,Miroir Bourbon,Meuble,"Unmiroir ne peut refléter que le visage de la personne, pas son cœur."
1080010,Rideaux Bourbon,Meuble,Des rideaux épais et stables. Quel genre de paysage peut-voir à travers la fenêtre caché par ces rideaux ?
135,Cadeau d'Amour,Coffre de Matériel,Un coffre précieux qui peut vous fournir une des récompenses suivantes：Fragment d'Antiquité Orange*10、Fragments d'Élite 5 étoiles*10、Fragments d'Élite Ange 5 étoiles*10、Fragments d'Élite Démon 5 étoiles*10、Fragment de Fille 5 étoiles*50、Fragment de Fille 4 étoiles*30
7099,Plaisir d'été,Skin,Skin de Phénix - Plaisir d'été
27099,Plaisir d'été,Skin,Skin de Phénix - Plaisir d'été
7100,Émeraude d'amour,Skin,Skin de KongMing - Émeraude d'amour
27100,Émeraude d'amour,Skin,Skin de KongMing - Émeraude d'amour
7101,Bourgeoise,Skin,Skin de Giana - Bourgeoise
27101,Bourgeoise,Skin,Skin de Giana - Bourgeoise
7102,Tenue d'été,Skin,Skin de Fencer - Tenue d'été
27102,Tenue d'été,Skin,Skin de Fencer - Tenue d'été
7103,Méca-dominatrice,Skin,Skin de Phénix - Méca-dominatrice
27103,Méca-dominatrice,Skin,Skin de Phénix - Méca-dominatrice
8035,Miroitement Mécanique,Cadre d'Avatar,Obtenable en achetant le Billet de 1ère Classe dans la 2ème Période du Festival à Vapeur
136,Énergie SP,Énergie SP,"Matériel Spécial, à utiliser pour l'événement d'Invocation Exclusive"
137,Bougie d'Anniversaire,Matériel d'Événement,"À utiliser pour éclairer le chemin à l'avenir de l'école, une chose indispensable à la célébration, dispersée sur le campus."
138,Boule d'Anniversaire,Matériel d'Événement,"À utiliser pour attirer l'attention de tout le public, une chose indispensable à la célébration, dispersée sur le campus."
139,Canon de Confettis,Matériel d'Événement,"À utiliser pour animer l'atmosphère à la célébration, une chose indispensable à la célébration, dispersée sur le campus."
140,Ballon d'Anniversaire,Matériel d'Événement,"À utiliser pour décorer la scène, une chose indispensable à la célébration, dispersée sur le campus."
141,Chapeau d'Anniversaire,Matériel d'Événement,"À utiliser pour céléberer l'Anniversaire, une chose indispensable à la célébration, dispersée sur le campus."
142,Fanion,Matériel d'Événement,"À utiliser pour accrocher au lieu de la célébration, une chose indispensable à la célébration, dispersée sur le campus."
143,Carte de célébration,Matériel d'Événement,"À utiliser pour recevoir les vœux, une chose indispensable à la célébration, dispersée sur le campus."
144,Bannière d'Anniversaire,Matériel d'Événement,"À utiliser pour recevoir toutes les bénédictions, une chose indispensable à la célébration, dispersée sur le campus."
145,Petit Gâteau,Matériel d'Événement,"À utiliser comme dessert pour la célébration , une chose indispensable à la célébration, dispersée sur le campus."
146,Ticket de jeu,Matériel d'Événement,"Matériel d'Événement, à utiliser pour participer à l'événement Doublon Gagnant"
7104,Malfrat,Skin,Skin de Fenrir- Malfrat
27104,Malfrat,Skin,Skin de Fenrir- Malfrat
147,Peinture universelle,Matériel d'Événement,"Matériel d'Événement, à utiliser pour participer à l'événement Puzzle Commémoratif, obtenable dans l'événement d'Explorer le Campus"
8036,Cadre d'Avatar de 2nd Anniversaire,Cadre d'Avatar,"Cadre d'Avatar de 2nd Anniversaire, obtenable dans l'événement de 2nd Anniversaire"
7105,Magie d'Anniversaire,Skin,Skin de Dracula - Magie d'Anniversaire
27105,Magie d'Anniversaire,Skin,Skin de Dracula - Magie d'Anniversaire
148,Coupon de Célébration,Matériel d'Événement,"Matériel d'Événement, utilisable pendant l'événement Gâteau d'Anniversaire"
20001038,Avatar Exclusif de 2nd Anniversaire,Avatar Spécial,Avatar Exclusif de 2nd Anniversaire
4101001,Boîte de Fille 5 étoiles (Exclusif),Boîte à choix,Utilisez pour obtenir 50 fragments 5 étoiles d'une Fille de Maison Fantôme/Humain/Monstre/Fée. (Touchez la loupe pour savoir plus. Le contenu de la Boîte ne changera plus après que vous l'avez obtenu)
4101002,Boîte de Poupée 6 étoiles(Exclusif),Boîte à choix,À utiliser pour choisir d'obtenir une poupée 6 étoiles de la Maison Fantôme/Humain/Monstre/Fée
4501001,Boîte d'équipement (Exclusif),Boîte à choix,À utiliser pour choisir d'obtenir un ensemble d'équipement de Guerrier/Mage/Éclaireur/Assassin/Prêtre
